,Score,lr,fc_layer_1,fc_layer_2,fc_layer_3,fc_layer_4
0,-0.9749597647787063,0.001013481401491715,290,309,215,252
1,-0.10627050448777468,0.5811460480506249,280,385,377,190
2,-0.8603373568554626,4.692169638790012e-05,344,91,298,176
3,-0.6543051686784277,0.022985316437405937,371,371,383,177
4,-0.9777421850820179,0.0022076385700166555,440,177,424,226
5,-0.9643918291550602,0.00027333538323266233,50,346,380,352
6,-0.6443732590529248,1.8155997859438828e-05,108,317,111,436
7,-0.09069328381306098,0.17116707108180101,302,292,406,283
8,-0.9727329000309501,0.0006439118615928233,104,408,279,292
9,-0.08681213246672856,0.25327886643551667,383,42,99,11
10,-0.5626740947075209,0.0003736403442292392,500,10,10,10
11,-0.9721866295264624,0.0016907424215248416,500,10,66,463
12,-0.9777468276075518,0.0013316787804378242,341,271,255,306
13,-0.06957443515939339,1e-06,194,10,500,10
14,-0.8152537913958527,9.462315745522704e-05,10,500,500,360
15,-0.9643902816465489,0.00045464832538138415,274,10,231,362
16,-0.9493608789848343,0.002389473389273008,10,500,500,287
17,-0.09516867842773136,10.0,500,500,306,500
18,-0.9749597647787063,0.00033151744272366657,500,433,500,300
19,-0.9783008356545961,0.0012327249191505633,500,500,447,500
20,-0.9766279789538842,0.0028561411111393846,500,373,76,158
21,-0.9710708758898173,0.0018970262344805919,372,500,10,197
22,-0.9566016713091923,0.0038782476688809216,500,10,500,165
23,-0.9727390900649955,0.0011286887184601582,500,10,500,426
24,-0.966615598885794,0.004639076286949727,500,10,500,23
25,-0.9694026617146395,0.0029716125554522213,500,10,500,101
26,-0.9755184153512845,0.0016757439538468198,500,10,500,500
27,-0.9782977406375736,0.0009523516890652385,500,500,455,298
28,-0.9443577839678119,0.00763748468818502,500,10,10,10
29,-0.9632760755184153,0.0012513561729141853,500,10,10,500
30,-0.9749551222531725,0.0024116163986578312,500,500,500,500
31,-0.9788563912101516,0.001444434515243044,500,500,500,256
32,-0.9643964716805942,0.004470058395269164,82,500,10,76
33,-0.9510321881770348,0.001722829720644862,10,500,500,500
34,-0.9282079851439183,0.00036358208763316384,10,500,500,302
35,-0.975521510368307,0.0007954042009135891,500,500,10,326
36,-0.9755168678427731,0.00028396681314849404,500,500,500,358
37,-0.9738502011761065,0.0003689281183148621,500,500,500,409
38,-0.9699520272361498,0.0010768517767525175,500,10,500,294
39,-0.9721835345094398,0.0005611210560773246,500,500,10,353
40,-0.9705044877746827,0.00442815953813529,500,454,17,500
41,-0.9604967502321262,0.0004285818943591996,500,10,10,500
42,-0.9732900030950169,0.0014456809535768169,500,500,10,277
43,-0.9604936552151038,0.003054459616500209,500,10,10,500
44,-0.9716217889198392,0.007536456971533457,500,500,500,500
45,-0.9777375425564842,0.0008779831414371755,198,500,500,310
46,-0.5426060043330239,2.0482089512201787e-05,500,500,353,10
47,-0.9782977406375736,0.00028585225148038124,500,308,500,366
48,-0.9755137728257506,0.00532892075839764,500,500,500,433
49,-0.9755153203342619,0.0022304877256107696,500,500,500,412
